square_id,best_model,start,end,ARIMA+Fourier_MAE,LightGBM_MAE,LSTM_MAE,Persistence_MAE
5161,LSTM,2013-12-17 13:00:00+01:00,2013-12-17 18:50:00+01:00,176.79373176693,205.80778804555672,207.79238611111109,179.99163611111103
5059,ARIMA+Fourier,2013-12-17 12:50:00+01:00,2013-12-17 18:40:00+01:00,161.32193947068586,160.04454031300963,150.78019722222228,181.7102222222223
5259,LSTM,2013-12-19 12:30:00+01:00,2013-12-19 18:20:00+01:00,120.7626957049355,156.8815497013713,152.39398055555563,134.615225
