square_id,model,MAE,RMSE,MAPE,fit_seconds,predict_seconds,config
5161,Persistence,92.8019193164886,134.877740814715,9.194349272094524,1.8999999156221747e-06,0.001180979999480769,Persistence
5161,Seasonal naive (week),300.7502355499873,432.9547452470944,28.968925283667758,4.400000761961564e-06,0.0012937599996803329,Seasonal naive (week)
5161,ARIMA+Fourier,80.34478535847366,119.5678710303248,8.721508170598026,7.801227100000688,0.16647628000064288,"ARIMA(3, 0, 0)+Fourier(d6,w1)"
5161,LightGBM,89.11701406871873,130.3580078737362,9.334328498551377,4.173551700001553,0.08395554000017,"LightGBM(leaves 15, lr 0.03, trees 300)"
5161,LSTM,79.26308529717582,118.28036791692712,8.379988106070739,135.35180000000037,0.2398384999993141,"LSTM(delta, window 144, hidden 64, layers 1, dropout 0.0, lr 0.003)"
5059,Persistence,81.51690340798999,114.37504913467069,7.9590740722968984,1.0999974620062858e-06,0.0011882400001923088,Persistence
5059,Seasonal naive (week),259.95001953367205,361.1203766321237,25.731423483016226,1.6999983927235007e-06,0.0012286600001971237,Seasonal naive (week)
5059,ARIMA+Fourier,68.071382255076,95.12726257866201,7.445554817424395,4.835889000001771,0.08500325999993948,"ARIMA(3, 0, 0)+Fourier(d6,w1)"
5059,LightGBM,77.49994863029913,108.799564912465,7.9956807346913985,0.27363230000264593,0.045426259999658214,"LightGBM(leaves 15, lr 0.03, trees 300)"
5059,LSTM,69.70434721689375,98.07513101798584,6.956008738006009,80.00785319999704,0.257693279999512,"LSTM(delta, window 144, hidden 64, layers 1, dropout 0.0, lr 0.003)"
5259,Persistence,75.96750339629158,109.5784043003486,8.114780706938289,1.0000003385357559e-06,0.000564940000185743,Persistence
5259,Seasonal naive (week),210.24099763234457,289.4954658917633,28.56316290911205,1.7999991541728377e-06,0.0005715999999665655,Seasonal naive (week)
5259,ARIMA+Fourier,71.28865275330544,96.23381725722656,9.501143343410748,5.867299799996545,0.09033269999999902,"ARIMA(3, 0, 0)+Fourier(d6,w1)"
5259,LightGBM,65.88745179050143,93.76961892276674,7.526426236805624,0.23969969999961904,0.051151080000272485,"LightGBM(leaves 15, lr 0.03, trees 300)"
5259,LSTM,61.751753216698056,88.95538072518589,6.861832218162693,129.31353920000038,0.2027669600000081,"LSTM(delta, window 144, hidden 64, layers 1, dropout 0.0, lr 0.003)"
