lag_label,lag_steps,autocorrelation
10 min (1 step),1,0.9871087446007146
20 min,2,0.9810378849183263
1 hour,6,0.93882364047514
12 hours,72,-0.6832087570390042
1 day (144),144,0.8783003251107289
1 week (1008),1008,0.8376899166944586
2 weeks (2016),2016,0.704625016830668
