square_id,model,MAE,RMSE,MAPE,fit_seconds,predict_seconds,rationale
5161,"ARIMA(3, 0, 0)+Fourier(d6,w1)",101.26228761957694,150.85644118058687,8.54608959494589,8.236677700013388,0.12647180000203662,"stage 2: ARIMA order with harmonics (6, 1)"
5161,"ARIMA(2, 1, 1)+Fourier(d6,w1)",101.80815690491997,152.8211858150161,8.01703287048133,6.960069399996428,0.16776280000340194,"stage 2: ARIMA order with harmonics (6, 1)"
5161,"ARIMA(4, 0, 0)+Fourier(d6,w1)",101.82172019725935,151.7450738275227,8.532247838419625,6.821127799979877,0.14592910002102144,"stage 3: higher AR orders, since stage 2 was still improving at p=3"
5161,"ARIMA(5, 0, 0)+Fourier(d6,w1)",102.00082723759145,152.08122910608947,8.517208582602251,10.119162200018764,0.40746410001884215,"stage 3: higher AR orders, since stage 2 was still improving at p=3"
5161,"ARIMA(6, 0, 0)+Fourier(d6,w1)",102.02127427390752,152.20767433784624,8.503078999280499,11.775397599994903,0.25734290000400506,"stage 3: higher AR orders, since stage 2 was still improving at p=3"
5161,"ARIMA(8, 0, 0)+Fourier(d6,w1)",102.0226646778713,152.2007762037394,8.512986908023098,11.631322000001092,0.23139030000311323,"stage 3: higher AR orders, since stage 2 was still improving at p=3"
5161,"ARIMA(3, 0, 1)+Fourier(d6,w1)",102.56385362030157,152.01934063737752,8.881403017643112,11.126508099987404,0.1600664000143297,"stage 2: ARIMA order with harmonics (6, 1)"
5161,"ARIMA(2, 0, 0)+Fourier(d6,w1)",103.37905721508544,153.3610907328824,9.072400810041922,6.538129499997012,0.1409849000046961,"stage 1: seasonal detail, ARIMA order fixed at (2,0,0)"
5161,"ARIMA(2, 0, 0)+Fourier(d6,w1)",103.37905721508544,153.3610907328824,9.072400810041922,5.888376499991864,0.11271429999032989,"stage 2: ARIMA order with harmonics (6, 1)"
5161,"ARIMA(2, 0, 0)+Fourier(d4,w1)",103.60021480530872,153.35742808630488,9.220387869735507,11.031500999990385,0.20928789998288266,"stage 1: seasonal detail, ARIMA order fixed at (2,0,0)"
5161,"ARIMA(2, 0, 0)+Fourier(d6,w2)",103.7284046494601,153.2604793264511,9.333098658429533,9.196413300000131,0.15550739999162033,"stage 1: seasonal detail, ARIMA order fixed at (2,0,0)"
5161,"ARIMA(2, 0, 0)+Fourier(d4,w2)",103.88468377504829,153.25480501025635,9.44591894191449,11.786836499988567,0.314908700005617,"stage 1: seasonal detail, ARIMA order fixed at (2,0,0)"
5161,"ARIMA(2, 0, 0)+Fourier(d3,w1)",104.14179286936636,154.85897529642057,9.083317887418236,9.888950199994724,0.3245255000074394,"stage 1: seasonal detail, ARIMA order fixed at (2,0,0)"
5161,"ARIMA(2, 0, 0)+Fourier(d3,w2)",104.49113945637941,154.76380254582352,9.353594873782486,6.482448499999009,0.1853148000082001,"stage 1: seasonal detail, ARIMA order fixed at (2,0,0)"
5161,"ARIMA(2, 0, 1)+Fourier(d6,w1)",104.8803568925505,153.74915471786593,9.524212626194913,7.67413050000323,0.12471279999590479,"stage 2: ARIMA order with harmonics (6, 1)"
5161,"ARIMA(1, 0, 0)+Fourier(d6,w1)",111.55768219005309,161.47513754419336,10.584230420059097,5.1712518999993335,0.11198779998812824,"stage 2: ARIMA order with harmonics (6, 1)"
5161,Persistence,116.83331229194762,175.19059669094742,9.463038526344901,1.4999823179095984e-06,0.0014534000074490905,reference: no parameters
