square_id,day,mean_traffic,ARIMA+Fourier,LightGBM,LSTM,Persistence
5161,Mon 16,1201.140405763889,68.93510294799019,93.52128244396211,70.36258604166666,81.99158902777779
5161,Tue 17,1493.134808958333,83.02820988874296,87.39217899861211,92.1441154861111,99.14214034722221
5161,Wed 18,1440.0384931944443,86.7452426439832,85.34375291220606,84.05660027777778,91.21364770833333
5161,Thu 19,1241.9245770833331,66.15166036479243,85.85749712175148,69.22659291666666,86.69351791666666
5161,Fri 20,1337.4456960416667,65.30638058280796,74.86286865025389,66.608688125,82.77674972222223
5161,Sat 21,1743.5801420555556,94.79776692221455,94.7379920048979,85.00684769444449,104.14962609722221
5161,Sun 22,1658.7801616666666,97.44913896196958,102.10352700797452,87.43617534722223,103.64616125000002
5059,Mon 16,1355.9558549999997,63.09974625867004,62.46602108685291,66.27905812499999,86.29872222222222
5059,Tue 17,1432.2676535416665,80.37354701058257,82.00853093849501,79.62729284722224,101.99310486111114
5059,Wed 18,1415.8276395833336,57.17919952970996,72.25297374255744,60.55792805555555,74.05242541666667
5059,Thu 19,1252.3908130555553,57.86877174863394,77.14730068636982,72.51258263888887,69.76631555555555
5059,Fri 20,1272.8664672916666,73.92996984366611,90.36338392088597,86.61080784722223,90.65799999999999
5059,Sat 21,1165.9883961805556,71.20568001405672,77.43119997754356,62.27809263888889,76.48416750000001
5059,Sun 22,962.7886278472221,72.84276253177654,80.83023370417132,60.06465180555556,71.3655863888889
5259,Mon 16,1533.7251315972221,71.41083717262798,62.68414526535126,61.15983916666667,83.04696104166663
5259,Tue 17,1735.010473263889,80.07916951823756,73.56890072546965,67.70560090277776,89.5073520833333
5259,Wed 18,1667.1716206944445,75.9387245347383,67.85268143353771,63.30915541666665,93.50858680555555
5259,Thu 19,1543.50833125,79.57591163381238,82.38744765399863,78.87630131944447,92.19805055555555
5259,Fri 20,1494.3153456944444,71.38484964335828,73.72649267642385,70.90284395833334,89.19390874999998
5259,Sat 21,434.9387329861111,60.57948768814414,55.75377518956319,52.001956875000005,41.38460236111111
5259,Sun 22,447.0193749305556,60.051592147065826,45.23871863450808,38.30657715277778,42.93306
